"actor","co_actors"
"Richard Dreyfuss",906
"Colleen Camp",905
"Luis Guzman",904
"Jeff Bridges",903
"Ben Kingsley",903
"William Shatner",903
"Billy Bob Thornton",902
"Kevin Spacey",899
"Bill Pullman",898
"Stanley Andrews",897
"Christopher Lee",896
"James Caan",895
"Martin Sheen",894
"Diane Keaton",893
"Lynn Stalmaster",891
"Arnold Schwarzenegger",890
"Bruce McGill",885
"Sharon Stone",884
"Jason Robards Jr.",883
"Gregory Peck",882
"Drew Barrymore",882
"Kevin Kline",880
"John Carradine",879
"Bill Nunn",879
"Jack McGee",879
"Carrie Fisher",878
"Diane Lane",877
"Ving Rhames",876
"David Alan Grier",875
"Jon Voight",874
"Cheech Marin",873
"Addison Richards",873
"Gary Oldman",873
"Bill McKinney",873
"John Cleese",872
"Michael Rooker",871
"Sean Penn",870
"Charles Trowbridge",867
"Sigourney Weaver",865
"Pat Flaherty",864
"Lane Chandler",864
"Eric Roberts",862
"Martin Landau",857
"Richard Gere",856
"William Forsythe",856
"Ian Holm",851
"Jack Mower",851
"Garry Owen",847
"Mary Pat Gleason",847
"Val Kilmer",846
"Brian Dennehy",846
"Brion James",845
"Shirley MacLaine",844
"Matthew Broderick",843
"Charles Lane",842
"John Capodice",840
"Tom Dugan",839
"Colin Farrell",839
"Kurt Fuller",838
"Kiefer Sutherland",837
"Demi Moore",837
"Johnny Depp",836
"Melanie Griffith",836
"Michael Douglas",834
"Kevin Corrigan",834
"William Forrest",834
"Oliver Platt",831
"Larry Miller",831
"Humphrey Bogart",830
"David Patrick Kelly",830
"Jared Harris",827
"Charlie Sheen",827
"Richard Pryor",827
"Lin Shaye",827
"John Travolta",826
"Archie Hahn III",825
"Sam Harris",825
"Bob Gunton",823
"Chevy Chase",823
"Ben Stiller",821
"Billy Mitchell",820
"Tom Wright",820
"Walter Matthau",819
"Richard Riehle",819
"Catherine O'Hara",819
"Charlton Heston",817
"Michael Keaton",817
"Ben Affleck",816
"Gary Cooper",816
"Alan Arkin",810
"Gailard Sartain",810
"Dan Hedaya",809
"Robert Mitchum",809
"Ray Teal",808
"Glenne Headly",808
"Clarence Muse",807
"Laura Linney",807
"Joe Mantegna",806
"Robert Prosky",805
"Glenn Close",805
"Victor Argo",804
"Kirk Douglas",804
"John C. Reilly",803
"Cloris Leachman",803
"Meg Ryan",800
"Paul Sorvino",800
"Dick Wessel",799
"James Karen",799
"Hector Elizondo",799
"Anthony Quinn",796
"Emmett Vogan",795
"Josef Sommer",795
"John Lithgow",795
"Selmar Jackson",795
"Stephen Root",794
"Frances McDormand",794
"Andy Garcia",793
"Pruitt Taylor Vince",793
"Luke Wilson",792
"Mel Gibson",792
"Vincent Schiavelli",792
"Bill Paxton",792
"Brian Doyle-Murray",791
"Burgess Meredith",791
"Peter Jason",791
"Kelly Preston",790
"Dale Dye",790
"Dub Taylor",790
"James Cromwell",790
"Geoffrey Lewis",789
"Byron Foulger",788
"Elliott Gould",786
"Ewan McGregor",785
"Dabney Coleman",785
"Delroy Lindo",784
"David Clennon",783
"Rod Steiger",783
"Jonathan Pryce",782
"Ellen Barkin",782
"Eric Stoltz",781
"Edward Keane",781
"Billy Hopkins",780
"Murray Alper",780
"Albert Finney",779
"Edward Hearn",779
"Elias Koteas",779
"Jack Lemmon",778
"Lance Henriksen",777
"Eugene Levy",776
"Roddy McDowall",774
"Regina King",774
"Orson Welles",774
"Paul Mazursky",773
"Bruce Dern",773
"Donal Logue",771
"Saul Rubinek",771
"Vanessa Redgrave",770
"Will Smith",769
"Michael Badalucco",769
"F Murray Abraham",767
"Edwin Maxwell",766
"Tony Shalhoub",765
"Wallis Clark",765
"Leonard Thomas",765
"Joe Pesci",765
"Maggie Smith",765
"Allan Graf",764
"Faye Dunaway",764
"James LeGros",763
"Jon Lovitz",763
"Vincent Price",763
"Noble Willingham",762
"J.T. Walsh",761
"Richard Portnow",761
"George Chandler",761
"Salma Hayek",760
"Scott Wilson",757
"Lonette McKee",757
"Brian Tarantina",757
"Marisa Tomei",756
"John Gielgud",756
"Wendell Pierce",755
"Tommy 'Tiny' Lister",755
"Peter Falk",754
"Rosanna Arquette",753
"Lili Taylor",752
"Burt Young",752
"George Fisher",752
"Frank Whaley",752
"James Remar",751
"Michael Jeter",751
"Renée Zellweger",750
"Crispin Glover",750
"Alan Rickman",750
"David Hyde Pierce",749
"Richard Edson",749
"Michael Madsen",748
"Mary Ellen Trainor",748
"Mike Bacarella",748
"Wesley Snipes",748
"Karen Allen",747
"Jamie Lee Curtis",747
"Jason Robards",747
"Dean Stockwell",745
"Creighton Hale",745
"Jodie Foster",745
"Phil Hartman",745
"Brad Dourif",744
"Christian Bale",744
"Brian Cox",743
"Gabriel Byrne",743
"Dennis Burkley",743
"Treat Williams",743
"John Ratzenberger",743
"Jon Polito",742
"Griffin Dunne",742
"Anne Bancroft",741
"Dom DeLuise",741
"Nestor Paiva",741
"M.C. Gainey",741
"James Tolkan",740
"Tony Plana",740
"Michael J. Fox",739
"Ernie Hudson",739
"George Kennedy",737
"Jack Black",737
"Beau Starr",735
"Will Patton",735
"Mickey Rourke",734
"John Leguizamo",734
"Angela Bassett",733
"Dianne Wiest",732
"Kirsten Dunst",732
"Grace Zabriskie",731
"Tom Bower",731
"James Hong",730
"R. Lee Ermey",729
"Walter Brennan",729
"Theresa Randle",728
"Marion Dougherty",728
"Robert E. Homans",728
"Al Cerullo",727
"Gary Busey",727
"Kevin Pollak",726
"Illeana Douglas",725
"James Belushi",725
"Ossie Davis",724
"Eric Wilton",722
"Chris Ellis",721
"Glenn Plummer",721
"Robert Joy",721
"Pat Hingle",721
"Michael Imperioli",720
"Eddie Jones",719
"Stephen Lang",719
"Julianne Moore",717
"Anthony LaPaglia",716
"Christopher McDonald",716
"Robert Wagner",715
"Matt Clark",714
"Richard Griffiths",713
"Jennifer Jason Leigh",713
"Tim Curry",713
"Harry Cording",713
"Austin Pendleton",712
"Philip Baker Hall",712
"Beth Grant",711
"Janeane Garofalo",711
"Caroline Aaron",711
"Cuba Gooding Jr.",711
"Steve Randazzo",711
"Tony Longo",710
"Philip Seymour Hoffman",710
"David Wohl",710
"Frank Faylen",709
"Don Cheadle",708
"Will Ferrell",708
"Jeremy Irons",708
"Richard Masur",708
"Paul Dooley",708
"Michael Gambon",707
"Maury Chaykin",707
"Ray Liotta",707
"Peter McRobbie",706
"Alfre Woodard",706
"Chris Penn",706
"Jack Kehler",704
"Charles Napier",704
"Miranda Richardson",704
"Lolita Davidovich",703
"Keenan Wynn",702
"Robert B. Williams",701
"Milt Kibbee",700
"Miriam Margolyes",699
"Raymond J. Barry",699
"Andie MacDowell",699
"Donald Pleasence",698
"Sandra Bullock",698
"Winona Ryder",697
"Paul Fix",697
"Timothy Spall",696
"Matthew Modine",695
"Andy Romano",695
"Elijah Wood",694
"Ron Dean",694
"John Mahoney",693
"Antonio Banderas",693
"Frank Mayo",693
"Jeffrey Jones",691
"George Lloyd",690
"Edwin Stanley",689
"Shelley Winters",689
"Louis Giambalvo",689
"Leon Rippy",688
"John Diehl",688
"Lily Tomlin",688
"Rosario Dawson",688
"James Garner",688
"Daryl Hannah",687
"Eddy Chandler",687
"Andre Rosey Brown",687
"Gérard Depardieu",686
"Danny Trejo",686
"Sig Rumann",686
"Ray Baker",685
"Robert Patrick",685
"Emory Parnell",685
"James Spader",685
"Edie McClurg",685
"Charles Bronson",684
"Burt Lancaster",684
"Laurie Metcalf",683
"Mickey Rooney",682
"Helen Hunt",681
"Jane Fonda",681
"Frank Oz",680
"Emma Thompson",680
"David Rasche",680
"Alfred Molina",680
"Sven Ole Thorsen",680
"Gerry Bamman",679
"Bert Remsen",679
"Michael Lerner",679
"Jeffrey DeMunn",679
"Jessica Lange",678
"Tom Wilkinson",678
"Tom Berenger",678
"Bruce MacVittie",678
"Kenneth Tobey",677
"Pamela Reed",676
"Bob Minor",676
"Harry Carey Jr.",674
"Peter Stormare",673
"Robert Costanzo",672
"Frank Collison",672
"Sam Shepard",671
"Roy Jenson",670
"Matt Craven",669
"Bruce Davison",669
"Beau Bridges",669
"James Keane",669
"Dennis Farina",669
"Edward Herrmann",669
"Albert Hall",668
"Philip Van Zandt",668
"Michael Greene",667
"Myrna Loy",666
"Carleton Young",666
"Dana Ivey",666
"Fred Dalton Thompson",665
"Marc Lawrence I",665
"Paul Giamatti",665
"Colin Firth",664
"Chester Clute",663
"Leonard Termo",663
"Joe Seneca",662
"Maggie Gyllenhaal",662
"Barry Corbin",662
"Carmen Filpi",662
"Ciarán Hinds",661
"Colm Meaney",661
"Ian McKellen",661
"Stockard Channing",661
"David Ogden Stiers",660
"Malcolm McDowell",660
"Jenifer Lewis",660
"Michael Wincott",659
"Harry Davenport",659
"Frank Sinatra",659
"Bradley Whitford",658
"Biff Yeager",658
"Fisher Stevens",658
"Bridget Fonda",657
"Leslie Nielsen",657
"John Hamilton",657
"Matt Malloy",657
"Kenneth Welsh",657
"Val Avery",656
"James Mason",655
"Hank Azaria",654
"Jack Elam",653
"Matt Damon",653
"John Finn",652
"Michael Hordern",652
"Kathleen Turner",652
"E.G. Marshall",652
"Frank S. Hagney",652
"Denholm Elliott",652
"Edgar Dearing",652
"Clifton James",651
"Jonathan Banks",651
"Steve Guttenberg",651
"Terrence Howard",651
"Stephen E. Miller",651
"Cyril Ring",650
"Chris Cooper",650
"Joe Spinell",650
"Robbie Coltrane",650
"Jennifer Tilly",649
"Sean O'Bryan",649
"Donald Moffat",649
"Jack Pennick",648
"David Warner",647
"Elizabeth Banks",646
"William Atherton",646
"Jerry Hardin",645
"Bruce Greenwood",645
"Sally Field",644
"Lucinda Jenney",644
"Richard E. Grant",643
"Julio Oscar Mechoso",643
"Richard Bright",643
"Ben Johnson",643
"Halle Berry",643
"Emilio Estevez",643
"Seth Green",643
"James Fox",642
"Rene Auberjonois",641
"Harold Goodwin",640
"Harry Hayden",640
"Selma Archerd",639
"Elizabeth Daily",638
"Beverly D'Angelo",638
"Howard Feuer",638
"Christina Ricci",638
"James Cagney",637
"Patrick Stewart",637
"Samuel S. Hinds",637
"Udo Kier",636
"Jack Gilpin",636
"Jay Leno",636
"Mercedes Ruehl",636
"Sean Astin",635
"Tony Goldwyn",635
"Margo Martindale",634
"Dermot Mulroney",634
"Chelcie Ross",633
"Kyra Sedgwick",633
"Lois Smith",632
"Ben Stein",632
"James Burke",632
"George Segal",631
"Robert Picardo",631
"Judge Reinhold",631
"Kenneth Mars",630
"Mia Farrow",630
"William Hurt",630
"George Martin",630
"Grand L. Bush",629
"Lynne Marie Stewart",629
"Martin Balsam",628
"Gwyneth Paltrow",627
"Danny Mann",626
"Chris Elliott",626
"Harris Yulin",626
"Larry Hankin",626
"Michael Lally",626
"Thomas Rosales Jr.",626
"Mary Field",625
"Paul Stewart",624
"Marlon Brando",624
"Tim Thomerson",624
"Miguel Sandoval",623
"Jeffrey Tambor",623
"Rick Overton",622
"Paul Reubens",622
"Frances Conroy",622
"Barton Heyman",621
"Rob Schneider",620
"Mickey Jones",620
"Richard Foronjy",620
"Angela Lansbury",619
"Frank Girardeau",619
"Laura Dern",618
"Rick Ducommun",618
"Juliette Lewis",617
"Charles Halton",617
"Art Evans",617
"Harry Strang",616
"Patrick Swayze",616
"Marc McClure",616
"Royal Dano",616
"Regis Toomey",616
"Whit Bissell",616
"William Sanderson",615
"Lorraine Bracco",615
"Leon Ames",615
"Patricia Clarkson",614
"Bobcat Goldthwait",614
"William Hickey",614
"John P. Ryan",613
"Miguel A. Núñez Jr.",613
"Reese Witherspoon",613
"Owen Wilson",613
"Pam Grier",613
"Troy Evans",612
"Sissy Spacek",611
"Kevin McNulty",611
"Roy Brocksmith",610
"Allen Garfield",610
"Harsh Nayyar",610
"Arthur French",609
"Angus MacInnes",609
"Antonio Fargas",609
"Tracy Reiner",609
"William Prince",609
"Rene Russo",609
"Madeline Kahn",609
"Jeff Corey",609
"Armand Assante",608
"Judi Dench",607
"Viggo Mortensen",606
"William Holden",605
"Jamie Foxx",605
"Judy Taylor",605
"Stellan Skarsgård",604
"George 'Buck' Flower",604
"Helen Hanft",604
"Carl Ciarfalio",603
"Jeff Ramsey",603
"Olympia Dukakis",603
"Nathan Lane",602
"Lauren Bacall",602
"David Koechner",602
"Ben Wright",601
"Alice Drummond",601
"Donald Kerr",601
"Bernie Mac",601
"Anthony Heald",600
"Molly Shannon",600
"Jim Carrey",600
"Vincent Pastore",600
"Holly Hunter",599
"Cathy Moriarty",599
"Mike Hodge",599
"Joe Don Baker",599
"John Doucette",599
"Max Perlich",598
"Arthur Ayleswofth",598
"Daniel Stern",598
"Bruce French",597
"Gary Howard Klar",597
"Damon Wayans",597
"Boyd 'Red' Morgan",596
"Ed O'Neill",596
"Hugh Grant",596
"Penelope Ann Miller",596
"Josh Mostel",596
"Karl Malden",596
"Joe Flaherty",595
"Faizon Love",595
"Celia Weston",595
"Bonnie Hunt",595
"Harry Shearer",594
"Billy Barty",594
"William Benedict",594
"Vondie Curtis-Hall",593
"Arthur O'Connell",593
"Greg Goossen",593
"Pedro de Cordoba",593
"Kevin Nealon",593
"Almira Sessions",592
"Helen Mirren",591
"Nicholas Guest",591
"John Glover",591
"Nicky Katt",590
"Sydney Pollack",590
"Daniel von Bargen",590
"Billy Connolly",590
"Frances Bay",590
"Frank Ferguson",589
"Charles Fleischer",589
"Adam Sandler",589
"Charles C. Wilson",589
"Kim Chan",589
"Raymond Cruz",589
"Rob Lowe",589
"Terence Stamp",589
"Sy Richardson",589
"Clark Gregg",588
"Parker Posey",588
"Marcia Gay Harden",588
"Paul Bartel",587
"Sam Elliott",587
"Frank McRae",587
"James Gandolfini",587
"George Kee Cheung",586
"Heather Graham",586
"Gerald Sim",586
"Richard Bradford",586
"Joseph Cotten",585
"John Sayles",585
"Ethan Hawke",585
"Donald Douglas",585
"Sarah Jessica Parker",585
"Jesse Bradford",584
"Ira Wheeler",584
"Debra Winger",584
"Craig T. Nelson",584
"Earl Boen",583
"Curtis Armstrong",583
"Steve James",583
"Ted Levine",583
"Robert Lesser",583
"John Ortiz",583
"Oliver Stone",583
"Mark Moses",583
"Mykelti Williamson",583
"Pierce Brosnan",582
"Martin Lawrence",581
"Lloyd Nelson",581
"Angelina Jolie",581
"Jay O Sanders",580
"Jaime Tirelli",580
"Charles Grodin",580
"Lynne Thigpen",580
"Omar Sharif",580
"Mary Gordon",580
"Kevin McCarthy",579
"Kathleen Wilhoite",579
"Brad Pitt",579
"Edward Peil Sr.",578
"Peter Maloney",578
"Tim Kelleher",578
"Uma Thurman",577
"Brad Sullivan",577
"Trevor Bardette",576
"Scarlett Johansson",576
"Michael Higgins",576
"Mark Margolis",576
"Mako",576
"Louise Fletcher",575
"Jack Kehoe",575
"Charles Sullivan",575
"Queen Latifah",574
"Julian Glover",574
"Ralph Fiennes",573
"Katharine Hepburn",573
"Elya Baskin",573
"Albert Brooks",571
"Robert E. O'Connor",571
"R.G. Armstrong",571
"Laurence Olivier",571
"Jim Carter",571
"Gene Lebell",570
"David Duchovny",569
"George P. Wilbur",569
"Tony Cox",569
"William Powell",568
"Terry O'Quinn",568
"Robert Easton",568
"Eric Idle",567
"Eileen Brennan",566
"J.C. Quinn",566
"Tom Noonan",566
"Paul Bates",566
"Paul Newlan",565
"Roger Guenveur Smith",565
"Eddie Izzard",565
"Tim Blake Nelson",565
"Simon Callow",564
"Robert Peters",564
"Badja Djola",564
"Hal Holbrook",564
"Afemo Omilami",563
"Tobin Bell",563
"Natalie Portman",563
"Jürgen Prochnow",563
"Marvin J. McIntyre",563
"Peter O'Toole",563
"Willis B. Bouchey",562
"Will Wright",561
"Vernon Dent",561
"Ed O'Ross",561
"Charles S. Dutton",561
"Isaiah Washington",560
"Sherry Hall",560
"Rex Linn",560
"Julie Payne",560
"Madonna",560
"Monte Blue",560
"Roger Moore",559
"Lainie Kazan",559
"Margaret Colin",559
"Nancy Travis",559
"Kerry Washington",559
"Kevin McNally",559
"Grady Sutton",559
"Scott Thomson",559
"Vernon Dobtcheff",559
"Stephen Baldwin",558
"Michael J. Pollard",558
"Pepe Serna",558
"Frank Moran",558
"Catherine Keener",558
"Eli Wallach",558
"Tom Skerritt",557
"William B. Davidson",557
"Sally Kirkland",557
"Richard Fancy",557
"Jon Favreau",556
"Richard Kind",556
"Jason Isaacs",556
"Harry Harvey",556
"Ernest Borgnine",556
"Zach Grenier",556
"Wayne Knight",555
"Alberto Morin",555
"Elizabeth Peña",555
"Cameron Diaz",555
"Barbara Pepper",554
"Juliet Taylor",554
"JoBeth Williams",553
"Rowan Atkinson",553
"Kristin Scott Thomas",553
"La Tanya Richardson",552
"Minerva Urecal",552
"Anna Levine",552
"Henry Gibson",552
"Jack Riley",552
"Daniel Craig",551
"Becky Ann Baker",551
"Rick Moranis",551
"Vincent Laresca",551
"Bruno Kirby",550
"Alan Napier",550
"Paul E. Burns",550
"Jessica Alba",550
"Rob Reiner",549
"Chuck Hicks",549
"Peter Gallagher",548
"Leonardo DiCaprio",548
"John Crawford",548
"Novella Nelson",548
"Ken Lerner",548
"Pete Postlethwaite",547
"Tom Tully",547
"Charlize Theron",547
"David Proval",547
"Howard Hesseman",547
"Jacob Vargas",546
"Bill Irwin",546
"Michael Milhoan",546
"Kenneth McMillan",546
"Stanley Brock",546
"Bill Nighy",545
"Jose Zuniga",545
"Richard Belzer",544
"Paul Gleason",544
"Nancy Fish",544
"Ralph Foody",544
"Jennifer Coolidge",544
"Duane Davis",544
"Fred Graham",544
"Fred Willard",543
"Greg Collins",543
"Barbara Hershey",543
"Carmine Caridi",543
"Michael Ensign",543
"Kenny Baker",543
"Lee Arenberg",543
"Michael Rapaport",542
"Mandy Patinkin",542
"Steve Aronson",542
"Timothy Hutton",542
"Chris Mulkey",542
"Gregory Sporleder",542
"Allison Caine",542
"Dean Martin",541
"Billy Beck",541
"Ned Bellamy",541
"Kurtwood Smith",540
"Rachel Ticotin",539
"Ann-Margret",539
"Bruce Jarchow",539
"Corey Feldman",539
"Sam Neill",539
"Sol (Saul) Gorss",538
"Spencer Tracy",538
"Rebecca De Mornay",538
"Fritz Feld",538
"Barbara Stanwyck",538
"James Brolin",538
"Donald Crisp",537
"Anthony Zerbe",537
"Hilda Plowright",537
"Michael Murphy",537
"Russell Simpson",536
"Stephen Rea",536
"Frank Campanella",536
"Helena Bonham Carter",535
"James Greene",535
"Sean Young",535
"Pat O'Malley",534
"Lloyd Bridges",534
"Linda Hunt",534
"Branscombe Richmond",534
"James MacDonald",533
"Googy Gress",532
"Irving Metzman",532
"George Tobias",532
"Marco Perella",532
"Joss Ackland",532
"Joe Morton",532
"Jude Ciccolella",531
"Jack Thibeau",531
"Elisabeth Shue",530
"Denis Leary",530
"Eddie Kane",530
"Sean Stone",530
"Stephen Dorff",530
"Kim Basinger",530
"Richard Gant",530
"Martin Scorsese",530
"Malachy McCourt",530
"Lauren Tom",529
"Jerry Orbach",528
"Garry Goodrow",528
"Chino ""Fats"" Williams",528
"William Morgan Sheppard",528
"Ray Walston",527
"Parley Baer",527
"Charles Martin Smith",527
"Fred Astaire",527
"Gina Gershon",526
"Brendan Kelly",526
"Steve White",526
"Tom Finnegan",526
"Taylor Negron",526
"Timothy Carhart",526
"Jonathan Hale",526
"Rhys Ifans",526
"Jeroen Krabbé",526
"John Dehner",526
"Pat West",525
"Elisha Cook Jr.",525
"Jean-Claude Van Damme",525
"Bernard Hill",525
"Adam Baldwin",525
"Shane Rimmer",525
"Stanley de Santis",524
"Kevin Conway",524
"Mimi Rogers",524
"Isaac Hayes",524
"Chuck Roberson",523
"George Harris",523
"Rutanya Alda",523
"Robert Klein",523
"John Ottavino",523
"Ralph Bellamy",523
"Roger Ashton-Griffiths",523
"Arthur Malet",522
"Bernie McInerney",522
"Cylk Cozart",522
"Jack Nance",521
"Jon Gries",521
"John Mills",520
"Michael Bowen",520
"Joe Pentangelo",520
"Jennifer Connelly",520
"Doris Lloyd",520
"Bobby Watson",519
"Robert Ryan",519
"Leigh French",519
"Kathy Baker",519
"Zeljko Ivanek",519
"Russell Hicks",518
"Swoosie Kurtz",518
"Glenn Morshower",518
"Frank Mills",518
"Frank Adonis",518
"Jophery C. Brown",518
"Ray Wise",518
"Lynn Cohen",518
"Lena Olin",518
"Mary Stuart Masterson",517
"Micole Mercurio",517
"Roscoe Lee Browne",517
"Rony Clanton",517
"Spring Byington",517
"Susan Barnes",517
"Clancy Brown",517
"David Bowie",516
"Ethan Phillips",516
"James Eckhouse",516
"Dean Norris",516
"Jason Alexander",516
"Robert Weil",516
"Larry Cedar",515
"John Ashton",515
"John Slattery",515
"Dakin Matthews",515
"Frank C. Turner",514
"Joe Devlin",514
"Kim Robillard",514
"William Demarest",514
"Wilford Brimley",513
"Steve Eastin",513
"Hope Davis",513
"Marc Macaulay",513
"Mike Mazurki",513
"John Larroquette",513
"John Qualen",512
"Eddie Griffin",512
"Dorothy Adams",512
"Ellen Burstyn",511
"Carlos Cervantes",511
"Mary Kay Place",511
"Luis Contreras",510
"Harry Seymour",510
"Gregory Hines",510
"Jane Lynch",509
"Gene Hartline",509
"Eugene Borden",509
"Brendan Fraser",509
"Tom Signorelli",509
"Robert Stephens",509
"R.D. Call",509
"John Lyons",508
"Milla Jovovich",508
"Fred Lerner",507
"Bing Crosby",507
"Tim Guinee",507
"Tom Tyler",507
"Spike Lee",506
"Ron Perlman",506
"Peter Brocco",506
"Nick Dimitri",506
"Frank Pesce",506
"Forbes Murray",506
"Evan Rachel Wood",505
"Cate Blanchett",505
"Trevor Howard",505
"Alex Hyde-White",504
"Donald O'Connor",504
"Julia Stiles",504
"Michael Pniewski",504
"Marjorie Bennett",504
"J.J. Johnston",504
"Richard Harris",503
"Paul Rodriguez",503
"John Miller",503
"Scatman Crothers",503
"Sam Wanamaker",503
"Valorie Massalas",503
"Wayne Grace",503
"Sean Bean",503
"Edward Fox",503
"Jackie Flynn",503
"Elizabeth McGovern",503
"Adam Williams",502
"Bridget Hoffman",502
"Leonard Mudie",502
"Naomi Watts",502
"J.K. Simmons",502
"William Schallert",502
"Woody Strode",502
"Spencer Charters",501
"Bill Paterson",501
"Amanda Peet",501
"Christian Clemenson",501
"John McMartin",501
"Richard Widmark",501
"Marianne Muellerleile",500
"Joan Plowright",500
"Vincent Guastaferro",500
"Veronica Cartwright",500
"Bill Raymond",500
"James Murtaugh",500
"Belle Mitchell",500
"Goldie Hawn",499
"Hamilton Camp",499
"Jack Wallace",499
"Chris O'Donnell",499
"Ronny Cox",499
"Mae Marsh",499
"Robert Stack",498
"Garick Hagon",498
"Graham Beckel",498
"Stuart Wilson",498
"Tom Everett",498
"Joe Sawyer",497
"Karen Black",497
"John Dennis Johnston",497
"Moroni Olsen",497
"Robin Wright Penn",497
"Charles Wagenheim",497
"James Farley",497
"B.D. Wong",496
"Allison Janney",496
"Billy Crystal",496
"Debbie Lee Carrington",496
"Larry John Meyers",496
"Michael Ironside",495
"Richard Jones",495
"Robert Wisdom",495
"Jennifer Garner",495
"Victor Wong",495
"James B. Sikking",495
"Alec Guinness",495
"Elizabeth Taylor",494
"Edward Earle",494
"Peter Sellers",494
"Tony Frank",494
"Tony Burton",494
"Tony di Benedetto",494
"Strother Martin",493
"Chazz Palminteri",493
"Bill Duke",493
"Greg Kinnear",493
"Kim Cattrall",493
"Michael Paul Chan",493
"Jean Del Val",493
"Michael P. Moran",493
"Noah Emmerich",492
"Joan Allen",492
"John Ritter",492
"Francis Ford",492
"Bruce Campbell",492
"Andy Devine",492
"Bernie Casey",492
"Nick Stewart [Nicodemus]",491
"Ron Silver",491
"Reni Santoni",491
"John Witherspoon",490
"Michael Gough",490
"Lee Van Cleef",490
"Risa Bramon Garcia",490
"Santos Morales",490
"Tchéky Karyo",490
"Beatrice Winde",490
"Henry Silva",489
"Mary Forbes",489
"Keone Young",489
