year,title,count
1998,BASEketball,1
1992,Patriot Games,1
1995,Theodore Rex,1
1959,The Best of Everything,1
1987,Date with an Angel,1
1988,Une affaire de femmes,1
1998,Broken Vessels,1
1970,Love Story,1
1998,Dear Jesse,1
1993,CB4,1
1984,Un dimanche à la campagne,1
1995,Dr. Jekyll and Ms. Hyde,1
2003,Basic,1
1999,Barenaked in America,1
1994,Four Weddings and a Funeral,1
2007,Auf der anderen Seite,1
2000,Km. 0,1
1993,The Nightmare Before Christmas,1
1968,Sayat Nova,1
1998,Zero Effect,1
1971,Fiddler on the Roof,1
1991,The Five Heartbeats,1
2005,Syriana,1
1998,Rushmore,1
2004,When Will I Be Loved,1
1974,The Bat People,1
1987,Slumber Party Massacre II,1
1958,Ice-Cold in Alex,1
1991,Point Break,1
2001,Monkeybone,1
1998,Divorcing Jack,1
2002,Pure,1
1985,A Nightmare on Elm Street Part 2: Freddy's Revenge,1
2001,Disco Pigs,1
2006,Longford,1
1977,The Gauntlet,1
1999,Bringing Out the Dead,1
1989,An Innocent Man,1
1997,Karakter,1
2002,Unfaithful,1
1962,Tales of Terror,1
1993,Look Who's Talking Now,1
2001,Dagon,1
2002,Unconditional Love,1
2003,Camp,1
1949,They Live by Night,1
1996,Éxtasis,1
2000,FLCL,1
2008,Hell Ride,1
1998,Half Baked,1
1956,War and Peace,1
2001,Je rentre à la maison,1
2002,L'auberge espagnole,1
1941,Penny Serenade,1
2005,Takeshis',1
1990,House Party,1
1999,Swiri,1
1995,The Quick and the Dead,1
1944,The Miracle of Morgan's Creek,1
2001,World Traveler,1
1980,Fade to Black,1
1987,Out of Rosenheim,1
2002,Jonah: A VeggieTales Movie,1
2003,Concert for George,1
1965,The Ipcress File,1
2005,Must Love Dogs,1
1989,Who's Harry Crumb?,1
1972,Fat City,1
1981,E tu vivrai nel terrore - L'aldilà,1
1949,The Inspector General,1
1993,Gojira VS Mekagojira,1
1958,The Left Handed Gun,1
1995,Roommates,1
1982,Wend Kuuni,1
2005,13 Tzameti,1
2000,Men of Honor,1
2002,Full Frontal,1
1973,The Last Detail,1
1997,¿Quién diablos es Juliette?,1
1979,The Concorde... Airport '79,1
1985,Return to Oz,1
2005,Loggerheads,1
2008,Smart People,1
1970,Where's Poppa?,1
1957,Designing Woman,1
1995,Jeffrey,1
1934,The Scarlet Empress,1
1978,Piranha,1
1997,It's in the Water,1
1982,Shoot the Moon,1
1999,Analyze This,1
2000,Plata quemada,1
2000,The Art of War,1
1995,The Prophecy,1
2006,Firewall,1
1966,Alvarez Kelly,1
1952,The Crimson Pirate,1
2001,Katakuri-ke no kôfuku,1
2000,Der Krieger und die Kaiserin,1
2004,Stage Beauty,1
2001,The Château,1
1990,The Godfather: Part III,1
2004,The Last Shot,1
1984,The Woman in Red,1
1998,Idioterne,1
1998,Babylon 5: Thirdspace,1
2004,The Nomi Song,1
1988,Halloween 4: The Return of Michael Myers,1
1999,The Corruptor,1
2007,Up the Yangtze,1
1998,Babylon 5: The River of Souls,1
1994,Country Life,1
1936,Swing Time,1
2006,The Wind That Shakes the Barley,1
2000,3 Strikes,1
1994,A Good Man in Africa,1
1997,Critical Care,1
2006,Babel,1
2007,28 Weeks Later,1
1953,The Big Heat,1
2004,Dead Man's Shoes,1
2005,Dominion: Prequel to the Exorcist,1
1983,The Creature Wasn't Nice,1
1984,Hot Dog... The Movie,1
1990,Death Warrant,1
2003,Secondhand Lions,1
1947,T-Men,1
1994,North,1
1988,A Nightmare on Elm Street 4: The Dream Master,1
2005,An Unfinished Life,1
1967,The Flim-Flam Man,1
1951,Royal Wedding,1
1945,Anchors Aweigh,1
1977,The Bad News Bears in Breaking Training,1
2000,Bangrajan,1
1966,Au hasard Balthazar,1
1976,Murder by Death,1
1981,Raggedy Man,1
1986,Mauvais sang,1
2008,Untraceable,1
1988,Gorillas in the Mist: The Story of Dian Fossey,1
1981,The French Lieutenant's Woman,1
1980,Where the Buffalo Roam,1
2005,End of the Spear,1
1954,The High and the Mighty,1
2003,Talaye sorkh,1
2006,Madea's Family Reunion,1
1975,Professione: reporter,1
1990,Another 48 Hrs.,1
1942,Roxie Hart,1
1996,The Leading Man,1
1988,Howling IV: The Original Nightmare,1
1954,Demetrius and the Gladiators,1
1979,Zombi 2,1
1992,White Men Can't Jump,1
1997,Suicide Kings,1
1968,The Green Berets,1
2007,Gracie,1
1999,Siegfried & Roy: The Magic Box,1
1962,How the West Was Won,1
1998,Armageddon,1
1952,"Come Back, Little Sheba",1
1961,Pocketful of Miracles,1
1985,Better Off Dead...,1
1999,Rukajärven tie,1
1978,Ice Castles,1
1994,Safe Passage,1
1982,The Beastmaster,1
1992,976-Evil II,1
1988,Eight Men Out,1
1989,Pink Cadillac,1
1987,The Whistle Blower,1
2002,Xiao cheng zhi chun,1
1981,Varning för Jönssonligan,1
1974,Juggernaut,1
1995,Boys on the Side,1
1995,"301, 302",1
1976,God Told Me To,1
1952,The Prisoner of Zenda,1
1992,Once Upon a Crime...,1
2000,Batoru rowaiaru,1
1984,Conan the Destroyer,1
1984,The Adventures of Buckaroo Banzai Across the 8th Dimension,1
2002,Laurel Canyon,1
1984,Cheech & Chong's The Corsican Brothers,1
1980,My Bodyguard,1
1948,Bud Abbott Lou Costello Meet Frankenstein,1
1966,The Blue Max,1
1969,Frankenstein Must Be Destroyed,1
2006,Hollow Man II,1
1998,Where's Marlowe?,1
1997,G.I. Jane,1
1987,Hamburger Hill,1
2008,What Doesn't Kill You,1
1993,The Man Without a Face,1
1981,They All Laughed,1
1978,Force 10 from Navarone,1
1954,Attila,1
1996,Sydney,1
1967,The Night of the Generals,1
1989,Her Alibi,1
1997,Smilla's Sense of Snow,1
2008,Gran Torino,1
1985,Rambo: First Blood Part II,1
1988,Rain Man,1
1995,Mr. Holland's Opus,1
2001,Lammbock,1
2003,Monster,1
1990,Texasville,1
1996,Sunset Park,1
1991,Europa,1
1943,Divide and Conquer,1
1984,The Toxic Avenger,1
1984,The Times of Harvey Milk,1
2005,Bad News Bears,1
1989,"The Karate Kid, Part III",1
2005,Mrs Palfrey at The Claremont,1
1985,The Falcon and the Snowman,1
1943,The Nazis Strike,1
1958,Damn Yankees!,1
1975,Night Moves,1
1957,Kanal,1
1989,Let It Ride,1
1987,Prick Up Your Ears,1
1973,La grande bouffe,1
2000,Waydowntown,1
1979,Return of the Secaucus Seven,1
1958,High School Confidential!,1
1954,Suddenly,1
1977,Breaker! Breaker!,1
1990,Dick Tracy,1
1942,Flying Tigers,1
1989,Black Rain,1
1993,Naked in New York,1
1985,The Quiet Earth,1
1933,The Invisible Man,1
1997,Absolute Power,1
2002,The Quiet American,1
1996,The Trigger Effect,1
1996,Unforgettable,1
1982,Silent Rage,1
2000,Adanggaman,1
1986,Top Gun,1
1963,Charade,1
2001,Angel Eyes,1
2004,Celsius 41.11: The Temperature at Which the Brain... Begins to Die,1
2008,The Little Mermaid: Ariel's Beginning,1
1996,Happy Gilmore,1
1970,Ryan's Daughter,1
2006,Fay Grim,1
1983,E la nave va,1
2005,Dirty Love,1
1967,I Call First,1
2003,Zi hudie,1
1962,The Legend of Lobo,1
1960,Les yeux sans visage,1
1991,Madonna: Truth or Dare,1
2001,Rivers and Tides,1
1981,Quartet,1
1962,The Brain That Wouldn't Die,1
1996,House Arrest,1
1990,Bad Influence,1
1994,The Inkwell,1
1964,Roustabout,1
1994,Police Academy: Mission to Moscow,1
1997,Defying Gravity,1
1981,Time Bandits,1
2002,Notorious C.H.O.,1
1981,Christiane F. - Wir Kinder vom Bahnhof Zoo,1
1997,Midnight in the Garden of Good and Evil,1
1997,Preaching to the Perverted,1
1998,Relax... It's Just Sex,1
2007,The Brothers Solomon,1
2001,Max Keeble's Big Move,1
1998,Mercury Rising,1
2007,Knocked Up,1
2006,Freedomland,1
1993,Gettysburg,1
1965,Terrore nello spazio,1
1985,Mischief,1
2008,Birds of America,1
1991,Scorchers,1
1990,Almost an Angel,1
1947,Angel and the Badman,1
1988,Ghoulies II,1
2004,Imaginary Heroes,1
1981,Looker,1
1989,Immediate Family,1
1960,Spartacus,1
2000,Proof of Life,1
1987,Pelle erobreren,1
1984,Star Trek III: The Search for Spock,1
1932,Number Seventeen,1
1989,Best of the Best,1
2008,Nim's Island,1
1982,Halloween III: Season of the Witch,1
1981,Das Boot,1
1998,Ceux qui m'aiment prendront le train,1
1942,I Married a Witch,1
2007,Dead Silence,1
2008,Felon,1
1997,Volcano,1
1997,How to Be a Player,1
1995,Mighty Aphrodite,1
2000,The Cell,1
1997,Roseanna's Grave,1
1964,The Naked Kiss,1
1960,The Magnificent Seven,1
2001,Osmosis Jones,1
1990,Quigley Down Under,1
2002,I'm with Lucy,1
1918,A Dog's Life,1
2000,Screwed,1
1971,On Any Sunday,1
1983,The Osterman Weekend,1
1994,The River Wild,1
1970,Waterloo,1
1983,Lone Wolf McQuade,1
1969,"Hello, Dolly!",1
2006,Scary Movie 4,1
1970,The Molly Maguires,1
1999,Romance,1
1943,Le corbeau,1
1981,Ms. 45,1
1990,Frankenstein Unbound,1
1991,Tacones lejanos,1
1990,Henry & June,1
1984,Red Dawn,1
2000,The Weight of Water,1
1981,Prince of the City,1
1989,The Tall Guy,1
2008,"10,000 BC",1
2004,Palindromes,1
1989,Kinjite: Forbidden Subjects,1
1972,The King of Marvin Gardens,1
1960,Swiss Family Robinson,1
1944,Since You Went Away,1
2001,Sen to Chihiro no kamikakushi,1
1957,Love in the Afternoon,1
2004,Surviving Christmas,1
2002,El bonaerense,1
1964,Children of the Damned,1
1958,The Horse's Mouth,1
1993,"In weiter Ferne, so nah!",1
1994,True Lies,1
1985,Legend,1
1989,Look Who's Talking,1
1964,Mosura tai Gojira,1
1965,King Rat,1
1986,Stand by Me,1
1975,Escape to Witch Mountain,1
2004,Zen Noir,1
1997,The Second Jungle Book: Mowgli & Baloo,1
1992,C'est arrivé près de chez vous,1
2001,Suriyothai,1
1998,"Hollywoodism: Jews, Movies and the American Dream",1
2006,Klimt,1
2005,Miss Congeniality 2: Armed & Fabulous,1
1977,Rabid,1
2002,Fellini: Je suis un grand menteur,1
1972,Meng long guo jiang,1
1944,Lifeboat,1
1967,Les demoiselles de Rochefort,1
2001,Jurassic Park III,1
1984,Secret Honor,1
1984,Revenge of the Nerds,1
1977,I Never Promised You a Rose Garden,1
1993,Free Willy,1
1943,Stage Door Canteen,1
2002,Swept Away,1
2006,Little Miss Sunshine,1
1969,Oh! What a Lovely War,1
1993,Another Stakeout,1
1970,Le genou de Claire,1
1985,Friday the 13th: A New Beginning,1
2007,Sicko,1
1936,Dracula's Daughter,1
1997,The Saint,1
1994,Angie,1
1987,Police Academy 4: Citizens on Patrol,1
1987,A Month in the Country,1
2001,Down to Earth,1
2006,Shock to the System,1
1984,Zhestokiy romans,1
2007,Shrek the Halls,1
1998,Fallout,1
2005,The Weather Man,1
1960,Exodus,1
1955,The Night of the Hunter,1
1978,Paradise Alley,1
1991,Mortal Thoughts,1
1967,Dont Look Back,1
1989,Last Exit to Brooklyn,1
1985,Transylvania 6-5000,1
2008,Che: Part Two,1
1986,The Boy Who Could Fly,1
2004,Soul Plane,1
2000,Last Resort,1
1962,The Counterfeit Traitor,1
1965,Ship of Fools,1
1984,Johnny Dangerously,1
1961,The Beast of Yucca Flats,1
1956,While the City Sleeps,1
2002,8 Mile,1
1958,Ascenseur pour l'échafaud,1
2001,Hard Ball,1
1961,Return to Peyton Place,1
1977,Orca,1
1974,Phantom of the Paradise,1
1985,Just One of the Guys,1
1980,Airplane!,1
2005,Shadowboxer,1
1947,The Farmer's Daughter,1
1951,Hakuchi,1
1979,Die Ehe der Maria Braun,1
1986,Sweet Liberty,1
1942,The Spoilers,1
2008,The Matador,1
1946,La symphonie pastorale,1
2004,Land of Plenty,1
1984,Sword of the Valiant: The Legend of Sir Gawain and the Green Knight,1
1957,The Enemy Below,1
1988,"Distant Voices, Still Lives",1
2002,Resident Evil,1
1991,Yu pu tuan zhi: Tou qing bao jian,1
1991,At Play in the Fields of the Lord,1
1995,Tommy Boy,1
1982,The Best Little Whorehouse in Texas,1
2002,The Santa Clause 2,1
2005,Protocols of Zion,1
1965,I pugni in tasca,1
1939,Beau Geste,1
1983,Sans soleil,1
1980,The Elephant Man,1
1998,Next Stop Wonderland,1
2006,Eureka,1
1986,Manhunter,1
2001,The Anniversary Party,1
1999,Simpatico,1
2005,Eve and the Fire Horse,1
2007,No Country for Old Men,1
2001,American Outlaws,1
2000,Merci pour le chocolat,1
1960,Flaming Star,1
2004,Voices of Iraq,1
1940,They Drive by Night,1
2001,Intimacy,1
2006,Wristcutters: A Love Story,1
1995,Condition Red,1
1978,Pretty Baby,1
1993,Weekend at Bernie's II,1
1998,Dog Park,1
1998,Jeanne et le garçon formidable,1
1993,Addams Family Values,1
2007,In the Valley of Elah,1
1948,Melody Time,1
1991,My Own Private Idaho,1
1972,Avanti!,1
1999,Go,1
2002,Pumpkin,1
2002,Collateral Damage,1
2001,Babí léto,1
1995,Tales from the Hood,1
1989,The Mighty Quinn,1
1985,Day of the Dead,1
1990,The Exorcist III,1
2008,Sunshine Cleaning,1
1985,Agnes of God,1
2005,Bubble,1
2003,A Man Apart,1
1979,Rock 'n' Roll High School,1
1994,What Happened Was...,1
1993,Freaked,1
1965,Pierrot le fou,1
1999,The World Is Not Enough,1
1943,Prelude to War,1
1963,From Russia with Love,1
1996,Trainspotting,1
1961,The Day the Earth Caught Fire,1
1973,Magnum Force,1
1994,The Favor,1
1987,Maid to Order,1
1940,Flash Gordon Conquers the Universe,1
1999,Ça commence aujourd'hui,1
1997,Alien: Resurrection,1
1980,Little Darlings,1
2002,Nicholas Nickleby,1
2002,All About the Benjamins,1
2007,Senki,1
2002,Adaptation.,1
1995,Across the Sea of Time,1
2006,"Paris, je t'aime",1
1996,The Substitute,1
2005,La moustache,1
1965,The Bedford Incident,1
2005,Final Fantasy VII: Advent Children,1
2003,The Brown Bunny,1
1961,Mysterious Island,1
1994,"The Last Klezmer: Leopold Kozlowski, His Life and Music",1
2007,The Grand,1
1998,Phantasm IV: Oblivion,1
1993,Mrs. Doubtfire,1
1989,Next of Kin,1
2008,The Promotion,1
2007,The Babysitters,1
1981,Honky Tonk Freeway,1
1971,The Night Visitor,1
1988,Moving,1
1972,The Valachi Papers,1
1993,Malice,1
2000,Michael Jordan to the Max,1
1993,The Pelican Brief,1
1987,The Belly of an Architect,1
2003,Gothika,1
2001,O,1
1999,Crazy in Alabama,1
1980,The Gods Must Be Crazy,1
2005,Edmond,1
1999,Simon Magus,1
2001,From Hell,1
2007,Shoot 'Em Up,1
2006,Rocky Balboa,1
1997,One Night Stand,1
1967,The War Wagon,1
1993,Money for Nothing,1
1985,Lost in America,1
1977,Islands in the Stream,1
2003,From Justin to Kelly,1
2002,Femme Fatale,1
2001,Pokémon 3: The Movie,1
2008,Henry Poole Is Here,1
1994,The Return of the Texas Chainsaw Massacre,1
1997,Jungle 2 Jungle,1
1981,Nice Dreams,1
1998,Lethal Weapon 4,1
2005,Elektra,1
1982,Dead Men Don't Wear Plaid,1
2008,The Eye,1
1994,Xinghua san yue tian,1
1982,Passion,1
2002,Evelyn,1
1995,Mutters Courage,1
1996,Dunston Checks In,1
2007,Hitman,1
1995,The Celluloid Closet,1
1995,Casino,1
1947,The Secret Life of Walter Mitty,1
1987,Straight to Hell,1
2003,Hollywood Homicide,1
2001,Gaudi Afternoon,1
1998,Down in the Delta,1
1993,The Joy Luck Club,1
1993,Ruby in Paradise,1
2007,Lucky You,1
2001,Big Bad Love,1
2002,Chihwaseon,1
2001,Y tu mamá también,1
2002,The Hours,1
2007,Premonition,1
1988,Stealing Home,1
1999,The Big Tease,1
1988,Running on Empty,1
1929,Blackmail,1
1993,Alive,1
1944,Gaslight,1
2007,Spider-Man 3,1
2001,In the Bedroom,1
1987,Giulia e Giulia,1
2006,Alpha Dog,1
1994,Little Odessa,1
2003,Masked and Anonymous,1
1994,Jimmy Hollywood,1
2002,Wilbur Wants to Kill Himself,1
1972,The Poseidon Adventure,1
1997,The Assignment,1
1969,Krakatoa: East of Java,1
1995,Bushwhacked,1
2001,Asoka,1
2002,Deuces Wild,1
1979,C.H.O.M.P.S,1
1998,Madeline,1
2004,Christmas with the Kranks,1
