name,cast_position,count
Shannen Doherty,1,1
Ali Hoffman,3,1
Maurice Sherbanee,13,1
Winston Ntshona,48,1
Azalea Davila,33,1
Peter Weller,8,1
Leo Hogenboom,33,1
Marco Quezaza,41,1
Maren Kroymann,1,1
Sheila Kelley,13,1
Brad Renfro,11,1
Jon Seda,36,1
Geneviève Page,4,1
Zelda Harris,10,1
Henry Wadsworth,37,1
Cynthia Baker,46,1
Zach Grenier,16,1
Michael Caloz,13,1
Julian Rivero,42,1
Randall Fontana,14,1
Bruce Kirby,7,1
Siegfried Breuer,9,1
Jo Ann Worley,21,1
Dambisa Kente,11,1
Jeffrey J. Stephan,27,1
Kevin Brewerton,49,1
Tom Arnold,13,1
Zack Duhame,21,1
Alicia Agut,12,1
Samuel West,19,1
Maria Celedonio,19,1
Lita Stevens,52,1
Corey Pavin,59,1
Michael DeLorenzo,1,1
Todd Graff,15,1
Pete Smith,10,1
Cesar Sarachu,6,1
Francie Swift,20,1
Eileen Crowe,8,1
Alec Baldwin,7,1
Lillo Brancato Jr.,9,1
Frances Bay,4,1
Robert Gillespie,29,1
Carl Reiner,32,1
Oz Perkins,12,1
Habib Chetoui,39,1
Dan Ferro,28,1
Joanna Going,15,1
Stéphane Boucher,14,1
Wayne de Hart,7,1
Judy Clayton,11,1
Ruby Gaynor,62,1
Don Campbell,21,1
Frank Romano,23,1
Susan Cabral,22,1
Tom Wilson,110,1
Leo Dolan,26,1
Georges Marchal,3,1
Louis Turenne,11,1
Dan Eisenstein,13,1
William Webb,35,1
Edmond Genest,19,1
Herbert Knaup,14,1
Tom McCamus,19,1
Douglas W. Iles,52,1
Rand Harper,10,1
Maggy Myers Davidson,13,1
Michael J. Shannon,14,1
Leonard Stone,8,1
Phillip Beer,55,1
John Benjamin Martin,18,1
Hector Elias,14,1
Tricia McFarlin-Mattson,61,1
Michael Raeburn,12,1
Jean-Claude Bouillon,11,1
Jack Klugman,9,1
Lou Perry,32,1
Tomas Norström,9,1
Brad Moniz,60,1
Philip Davis,10,1
Chelsea Harrington,34,1
Nessa Hyams,11,1
Roberto Nobile,9,1
Aaron Michael Lacey,39,1
Carol Sutton,20,1
Robert Culp,18,1
Ken Drury,14,1
Xander Berkeley,8,1
Dedee Pfeiffer,29,1
Myra Turley,27,1
Bill Erwin,18,1
Sonja Kirchberger,1,1
Cynthia Geary,8,1
Greg Louganis,17,1
Ella Ethridge,36,1
Dana Vávrová,25,1
Wade Evans,15,1
Maxine Ardell,46,1
Tony di Benedetto,11,1
Anthony Daniels,7,1
Isaac Mizrahi,1,1
Rich Little,17,1
Paul Panzer,87,1
Clarke P.Devereux,21,1
Rick Aviles,8,1
Milt Oberman,8,1
Jon Kasdan,41,1
Anne De Salvo,22,1
Carlton Wilborn,15,1
Clarisa Ortacio,21,1
Fabio Urena,27,1
Philip Tan,22,1
Michael Bofshever,11,1
Rebel Russell,11,1
Gunilla Karlzen,7,1
Yang Kuei-Mei,4,1
Ernestine Mazurowna,5,1
Wendy Kurtzman,14,1
Alex Zuckerman,30,1
Janine Turner,4,1
Tchéky Karyo,11,1
Charles De'Ath,23,1
Alfred Dennis,13,1
Richard E. Grant,6,1
Jim Holmes,12,1
Marguerite Moreau,11,1
Juan Garcia,12,1
Peter Brook,17,1
Vincent Patrick,23,1
Frank Mayo,71,1
John Bennett,6,1
Joe La Due,24,1
John Nacco,17,1
Alixe Gordin,26,1
Matthew Ross,3,1
Dwayne McClary,20,1
John Savident,56,1
Rosemary Harris,3,1
Alan Oppenheimer,28,1
Terry Shero,47,1
Robert Hines,10,1
John Fink,26,1
Mick O'Rourke,44,1
Ryo Ishabashi,41,1
Rose Smith-Lotenero,155,1
Charley Oleg,40,1
Ric Reitz,25,1
Thomas Gallagher,24,1
David Gilbert,29,1
Leonard McMahan,57,1
Paul Mougey,95,1
Vivienne Kaplan,33,1
Don James,16,1
Rada Rassimov,5,1
Niall Toibin,14,1
Laraine Newman,20,1
Kevin Zegers,22,1
Marques Johnson,16,1
Saverio Guerra,33,1
David E. Cousin,40,1
Alfred Rossi,17,1
Barry Newman,15,1
Mick Lally,8,1
Joie Lee,14,1
Mary Goldberg,21,1
Alexander John,16,1
Samantha Mathis,7,1
Charles Barkley,9,1
Richard E. Grant,15,1
Reed Hadley,24,1
Johnny Williams,44,1
Gabby Millgate,10,1
Moon Bloodgood,4,1
Chynna Phillips,23,1
Lynn Cohen,15,1
Herkulis E. Strolia,33,1
Juney Ellis,52,1
Dana Brooks,25,1
Lloyd Williams,65,1
Gabino Diego,8,1
Art Farmer,4,1
Dan Seymour,20,1
Elizabeth McKay,5,1
Alfred Paix,25,1
Bobby Knight,25,1
Julie Newmar,22,1
Melvil Poupaud,4,1
Don Novello,7,1
Kellie Overbey,26,1
Benay Venuta,32,1
Sarita Khajuria,1,1
Floyd 'Red Crow' Westerma...,89,1
Missy Crider,2,1
Conchata Ferrell,8,1
Cliff Edwards,50,1
Wendy Russell,55,1
Joshua Nelson,21,1
Bianca Tognocchi,16,1
Uri Avrahami,9,1
Michael Raynor,3,1
Stuart W. Yee,61,1
Christopher Meloni,31,1
Waltraut Kramm,44,1
Isabella Schoning,9,1
Gary Landon Mills,18,1
Wolfgang Stegemann,30,1
Leleti Kumalo,15,1
Kate Ashfield,29,1
David Hyde Pierce,23,1
Scott Layne,19,1
Gerald Berns,46,1
Rohan Jones,29,1
King Donovan,12,1
David Kashner,25,1
Karen Ludwig,7,1
Matthew Ferguson,19,1
Alistair Findley,26,1
Peg Shirley,52,1
Jonathan Sagall,5,1
Dan Hedaya,30,1
Jose Zuniga,29,1
Gayle Lewis,81,1
George Chan,13,1
Max Piersig,29,1
Jack Wallace,51,1
Angelo Infanti,8,1
Liev Schreiber,19,1
Jaroslav Tomsa,12,1
Robert Shayne,48,1
Jeffrey D. Sams,20,1
Tony Alleff,12,1
Billy Lucas,32,1
Mitchell Lewis,22,1
Vasek Simek,28,1
Patrick Harcq,41,1
Baha Jackson,14,1
Leo Burmester,33,1
Aida Turturro,29,1
Billy Vera,95,1
David Ferguson,30,1
Robert W. Castle,10,1
Robert Lesser,7,1
Jack Lomas,23,1
Nicholas Papademetriou,6,1
Cylk Cozart,11,1
Rusty Cundieff,1,1
Wil Wheaton,18,1
Tristram Jellinek,1,1
Dennis Tufano,21,1
John Benjamin Hickey,13,1
William Benedict,10,1
Bradley Whitford,25,1
Scott Mosier,22,1
James Patrick Dunne,36,1
Kevin Stea,20,1
Noel Evangelisti,21,1
Jim McCullough Sr.,27,1
Linda Taylor,21,1
Julien Rassam,11,1
Joanna Miles,13,1
Stan Tracy,30,1
Scott Weinger,1,1
Ben Welden,29,1
Shawn Michael Howard,9,1
John Harms,11,1
Chuck McCann,21,1
Donald Jacob,28,1
Ellen Corby,35,1
Monte Hale,20,1
John Chaidez,15,1
Bruno Bryniarski,1,1
Tatjana Patitz,12,1
Charlotte Valandrey,8,1
Agnes Moorehead,8,1
Dewey Robinson,20,1
Dean Robinson,50,1
Tom Gilroy,3,1
Clarinda Ross,10,1
Niven Busch,22,1
Bob Geldof,1,1
Nathaniel Kaye,16,1
Prudence Oliver,31,1
Kirby Mitchell,21,1
Eric Thal,10,1
Lucien Prival,23,1
Andy Lindberg,22,1
Roxanne Hart,2,1
Glynis Johns,4,1
Elsa Cardenas,16,1
Frances Foster,14,1
Kelly Shenefiel,51,1
Ken McDougall,13,1
Aidan Turner,1,1
Kevin Jordan,32,1
Billy Morrissette,25,1
Alexandra Karabell,47,1
Jonothon Gill,29,1
Debra Monk,7,1
S.A. Griffin,9,1
Maeve McGuire,24,1
Dorothy Provine,8,1
Oleg Yankovskiy,11,1
John Richard Ingram,50,1
Xander Berkeley,21,1
Jerry O'Connell,4,1
John Mahaffey,53,1
Geoffrey Widgor,32,1
Lorose Keller,5,1
Julie Donatt,16,1
Olivia Brunaux,12,1
Rebecca Ferratti,14,1
Nestor Serrano,28,1
Priscilla Barnes,6,1
Tim Perrin,28,1
Coolio,8,1
David Byrd,40,1
Laura Bell Bundy,35,1
Allen Garfield,23,1
Red Buttons,4,1
Pál Hetényi,10,1
Mina Shum,12,1
Kelvin Han Yee,28,1
Sophie Goodchild,21,1
Ashley Peldon,8,1
R.C. Everbeck,39,1
Joe Palma,32,1
Huey Lewis,22,1
Jodie Markell,22,1
Myra Taylor,37,1
Florence Guerfy,18,1
Della Reese,5,1
Tim Roth,5,1
Elsa Buchanan,21,1
Tom Drake,5,1
Phil Collins,6,1
Eric Averlant,12,1
Joel Murray,24,1
Stephen D. Newman,5,1
Miko Hughes,8,1
Anthony De Sando,5,1
Dwight Lauderdale,34,1
Jon Tenney,29,1
Robert Klein,4,1
Ira Newborn,27,1
Bo Hopkins,12,1
John Dennis Johnston,10,1
Michael Countryman,22,1
Zachery Ty Bryan,17,1
Charlie Newmark,19,1
Kimberly Beck,9,1
Charlotte Ross,13,1
Benjamin Hendrickson,3,1
Stanley Anderson,65,1
Jim Jansen,15,1
David Bennent,3,1
Lon Chaney Jr,7,1
C.J. Grayson,17,1
Jamie Renee Smith,5,1
Billy West,7,1
Craig Hosking,18,1
Alma Collins,6,1
Roger Lloyd Pack,32,1
Jordan Carlton,29,1
Denise Nickerson,13,1
Holly Kuespert,11,1
Eddie Bo Smith Jr.,36,1
Miguel Pérez,57,1
Jan Steen,6,1
Kristine Demers,14,1
Rae'Ven Larrymore Kelly,32,1
Peter Gunn,15,1
Brendan Conroy,25,1
George Goodman,16,1
Hank Mann,69,1
Dick Callahan,14,1
Duran Duran,11,1
Jack Shepherd,6,1
Rosie O'Donnell,21,1
Allen Mathews,14,1
Pat Barton,45,1
Harold Ramis,9,1
Thomas Lowry,86,1
David Andrews,13,1
Gary Mule Deer,30,1
Robert Vaughn,10,1
Daniel von Bargen,9,1
Luke DeLeon,31,1
Elizabeth Peña,15,1
Christel Ehde,40,1
Rockets Redglare,21,1
Bret McCormick,46,1
Teresa Maria Rojas,9,1
Marissa Ribisi,6,1
Gerard McSorley,26,1
Dorothy Constantine,37,1
Bernard Rose,16,1
Geoffrey Carey,16,1
Eddie 'Rochester' Anderso...,24,1
Billie Burke,2,1
Keith Campbell,12,1
Peter Cartwright,63,1
Cody Glenn,16,1
John Lambert,7,1
James Belushi,18,1
Sheila Tousey,6,1
David Kramer,18,1
Noel Stephens,38,1
Leo G Carroll,11,1
Tim De Zarn,8,1
Eddi Wilde,13,1
Don Shula,23,1
Cuba Gooding Jr.,5,1
Brigitte Parmentier,21,1
Balthazar Getty,8,1
Debra Zane,32,1
Heather Camille,12,1
Elisabeth Trissenaar,1,1
Roger Hume,15,1
Bo White,11,1
Greg Lauren,29,1
Lawrence Bender,37,1
Robert Barton,13,1
Lisa Howard,11,1
Maia Filar,9,1
Morgan Fairchild,1,1
Sean Skelton,41,1
Robyn Richards,29,1
John Schnauder Jr.,33,1
Seth Kaplan,19,1
Andy Dick,41,1
Ronald Hunter,7,1
Peter Whifield,10,1
Kristina Hare,40,1
Michael Mack,25,1
Joseph Gehrard,15,1
Martha Adcock,10,1
George Port,19,1
Eric Young,14,1
Lisa Malkiewicz,51,1
Chris Isaak,26,1
Dominic West,12,1
Elizabeth Franz,7,1
Andre Rosey Brown,11,1
James Doohan,11,1
Phyllis Davis,14,1
Agnes Moorehead,10,1
Bob Peck,10,1
Shepperd Strudwick,5,1
Charles Powell,12,1
Erik Rhodes,4,1
Christiane Cohendy,22,1
Shishir Kurup,22,1
Jack Jessop,12,1
Tex Rubinowitz,16,1
Laura Groppe,11,1
Frank Patterson,24,1
Louis Mercier,10,1
Donnie Burns,17,1
Ben Wrigley,21,1
Norman Chancer,11,1
Pat Sheahan,12,1
Manuel Donde,8,1
Vivian Bonnell,9,1
Thomas F. Duffy,8,1
Kaelynn Craddick,37,1
Marceline Hugot,11,1
Sophie De Kerkhove,29,1
Pato Hoffmann,1,1
Brent Neale,12,1
Taylor Nichols,25,1
Dion Anderson,11,1
Helen Hughes,14,1
Leanna Creel,21,1
Lorenzo Clemons,13,1
Patricia Kennealy,44,1
Carel Struycken,9,1
Lisabeth Bartlett,29,1
Fredrik Vogeding,106,1
Kevin Smith,14,1
Rúaidhrí Conroy,15,1
Caitlin Bossley,10,1
Ling Bai,59,1
Anne Wharton,8,1
John Di Benedetto,17,1
Samantha Edmonds,11,1
David Selby,4,1
Barry Shabaka Henley,57,1
Eleanor Columbus,9,1
Jimmy Shay,153,1
George Adrian,43,1
Carl Ekberg,43,1
Yu Fang,15,1
Barry Stanton,8,1
Daryl Mitchell,13,1
Chase Randolph,17,1
Leslie S. Sachs,43,1
Gene Lockhart,5,1
Lynn Swann,24,1
Luigi di Fiore,23,1
Brigitte Fossey,8,1
Tyrin Turner,1,1
Reggie Mc Fadden,11,1
Tom Murphy,31,1
Chauncey Leopardi,7,1
David Stepkin,21,1
Dennis R. Lyell,26,1
Robert Coote,17,1
Courtney Chase,24,1
Sada Simmons,132,1
Rufus Thomas,16,1
Salvatore Basile,39,1
Roderick Cook,13,1
Ruth Kobart,12,1
Heath Lamberts,9,1
William Yetter Jr.,36,1
Lin Shaye,25,1
Joseph Gordon-Levitt,3,1
Marilyn Rockafellow,41,1
